end_time,start_time,"time_spent
H:MM",type
10/6/2017 17:12,10/6/2017 12:28,4:44,place 1
11/9/2017 14:57,11/9/2017 13:00,1:57,place 1
11/7/2017 6:27,11/6/2017 18:41,11:45,place 1
10/13/2017 6:46,10/12/2017 18:23,12:22,place 1
11/11/2017 13:16,11/10/2017 15:19,21:57,place 1
11/2/2017 11:39,11/1/2017 18:16,17:22,place 1
11/1/2017 13:43,10/31/2017 17:05,20:37,place 1
11/9/2017 13:00,11/9/2017 9:59,3:00,place 1
10/11/2017 6:33,10/11/2017 5:50,0:43,place 1
10/13/2017 14:15,10/13/2017 7:04,7:10,place 1
11/14/2017 14:26,11/14/2017 7:37,6:48,place 1
10/19/2017 11:02,10/19/2017 6:11,4:50,place 1
10/9/2017 7:26,10/9/2017 5:52,1:34,place 1
10/27/2017 13:52,10/26/2017 19:58,17:53,place 1
11/4/2017 15:13,11/3/2017 18:44,20:29,place 1
11/11/2017 18:02,11/11/2017 14:00,4:02,place 1
10/20/2017 13:52,10/20/2017 7:39,6:13,place 1
11/2/2017 16:06,11/2/2017 13:10,2:55,place 1
10/11/2017 5:28,10/10/2017 16:56,12:31,place 1
10/26/2017 11:55,10/25/2017 17:16,18:39,place 1
10/12/2017 5:25,10/11/2017 7:29,21:55,place 1
10/9/2017 5:25,10/8/2017 12:52,16:33,place 1
10/15/2017 10:33,10/14/2017 15:37,18:55,place 1
10/21/2017 8:17,10/20/2017 20:12,12:04,place 1
10/29/2017 16:37,10/29/2017 14:13,2:24,place 1
11/3/2017 8:18,11/2/2017 16:49,15:28,place 1
11/9/2017 9:37,11/9/2017 6:49,2:48,place 1
10/12/2017 13:53,10/12/2017 6:07,7:46,place 1
10/10/2017 12:58,10/10/2017 8:56,4:02,place 1
11/14/2017 7:04,11/13/2017 19:11,11:53,place 1
10/20/2017 15:16,10/20/2017 14:40,0:36,place 1
10/14/2017 12:04,10/13/2017 15:08,20:56,place 1
11/8/2017 14:13,11/8/2017 12:42,1:30,place 1
10/25/2017 16:24,10/25/2017 11:44,4:39,place 1
11/4/2017 16:27,11/4/2017 15:58,0:29,place 1
10/20/2017 6:22,10/19/2017 16:59,13:22,place 1
10/19/2017 12:48,10/19/2017 11:38,1:09,place 1
11/9/2017 6:27,11/8/2017 15:02,15:25,place 1
11/8/2017 12:00,11/8/2017 6:52,5:07,place 1
11/8/2017 6:23,11/7/2017 18:18,12:05,place 1
10/7/2017 12:41,10/6/2017 18:20,18:20,place 1
10/12/2017 18:11,10/12/2017 15:01,3:10,place 1
10/10/2017 6:21,10/10/2017 5:49,0:31,place 1
10/26/2017 19:08,10/26/2017 18:59,0:08,place 1
10/26/2017 16:30,10/26/2017 12:35,3:54,place 1
