enddate,endtime,startdate,starttime,"time_spent
H:MM",type
100620170000,10019001712,100620170000,10019001228,4:44,place 1
110920170000,10019001457,110920170000,10019001300,1:57,place 1
110720170000,10019000627,110620170000,10019001841,11:45,place 1
101320170000,10019000646,101220170000,10019001823,12:22,place 1
111120170000,10019001316,111020170000,10019001519,21:57,place 1
110220170000,10019001139,110120170000,10019001816,17:22,place 1
110120170000,10019001343,103120170000,10019001705,20:37,place 1
110920170000,10019001300,110920170000,10019000959,3:00,place 1
101120170000,10019000633,101120170000,10019000550,0:43,place 1
101320170000,10019001415,101320170000,10019000704,7:10,place 1
111420170000,10019001426,111420170000,10019000737,6:48,place 1
101920170000,10019001102,101920170000,10019000611,4:50,place 1
100920170000,10019000726,100920170000,10019000552,1:34,place 1
102720170000,10019001352,102620170000,10019001958,17:53,place 1
110420170000,10019001513,110320170000,10019001844,20:29,place 1
111120170000,10019001802,111120170000,10019001400,4:02,place 1
102020170000,10019001352,102020170000,10019000739,6:13,place 1
110220170000,10019001606,110220170000,10019001310,2:55,place 1
101120170000,10019000528,101020170000,10019001656,12:31,place 1
102620170000,10019001155,102520170000,10019001716,18:39,place 1
101220170000,10019000525,101120170000,10019000729,21:55,place 1
100920170000,10019000525,100820170000,10019001252,16:33,place 1
101520170000,10019001033,101420170000,10019001537,18:55,place 1
102120170000,10019000817,102020170000,10019002012,12:04,place 1
102920170000,10019001637,102920170000,10019001413,2:24,place 1
110320170000,10019000818,110220170000,10019001649,15:28,place 1
110920170000,10019000937,110920170000,10019000649,2:48,place 1
101220170000,10019001353,101220170000,10019000607,7:46,place 1
101020170000,10019001258,101020170000,10019000856,4:02,place 1
111420170000,10019000704,111320170000,10019001911,11:53,place 1
102020170000,10019001516,102020170000,10019001440,0:36,place 1
101420170000,10019001204,101320170000,10019001508,20:56,place 1
110820170000,10019001413,110820170000,10019001242,1:30,place 1
102520170000,10019001624,102520170000,10019001144,4:39,place 1
110420170000,10019001627,110420170000,10019001558,0:29,place 1
102020170000,10019000622,101920170000,10019001659,13:22,place 1
101920170000,10019001248,101920170000,10019001138,1:09,place 1
110920170000,10019000627,110820170000,10019001502,15:25,place 1
110820170000,10019001200,110820170000,10019000652,5:07,place 1
110820170000,10019000623,110720170000,10019001818,12:05,place 1
100720170000,10019001241,100620170000,10019001820,18:20,place 1
101220170000,10019001811,101220170000,10019001501,3:10,place 1
101020170000,10019000621,101020170000,10019000549,0:31,place 1
102620170000,10019001908,102620170000,10019001859,0:08,place 1
102620170000,10019001630,102620170000,10019001235,3:54,place 1
111220170000,10019001529,111220170000,10019001120,4:08,place 1
101920170000,10019000528,101820170000,10019001528,14:00,place 1
100820170000,10019001030,100720170000,10019001421,20:09,place 1
100620170000,10019001212,100620170000,10019001101,1:11,place 1
101620170000,10019000536,101520170000,10019001638,12:57,place 1
110120170000,10019001519,110120170000,10019001424,0:55,place 1
100620170000,10019001019,100520170000,10019001434,19:45,place 1
101020170000,10019000532,100920170000,10019001735,11:56,place 1
110620170000,10019000628,110520170000,10019000721,23:06,place 1
111320170000,10019001826,111320170000,10019001803,0:23,place 1
102820170000,10019000947,102820170000,10019000752,1:54,place 1
110720170000,10019001452,110720170000,10019000700,7:52,place 1
110320170000,10019001755,110320170000,10019001702,0:52,place 1
102920170000,10019001149,102820170000,10019001248,23:01,place 1
100520170000,10019001332,100520170000,10019001257,0:34,place 1
111320170000,10019000836,111220170000,10019001552,16:44,place 1
111220170000,10019000954,111120170000,10019001825,15:28,place 1
102820170000,10019000740,102720170000,10019001503,16:37,place 1
100920170000,10019001059,100920170000,10019000812,2:47,place 2
100920170000,10019001640,100920170000,10019001146,4:53,place 2
110620170000,10019001739,110620170000,10019000711,10:28,place 2
111320170000,10019001713,111320170000,10019000930,7:43,place 2
103020170000,10019001259,103020170000,10019000909,3:49,place 2
103020170000,10019001801,103020170000,10019001340,4:20,place 2
102720170000,10019001449,102720170000,10019001434,0:15,place 3
110920170000,10019001554,110920170000,10019001544,0:10,place 3
111120170000,10019001818,111120170000,10019001809,0:08,place 3
110120170000,10019001413,110120170000,10019001359,0:14,place 3
100520170000,10019001428,100520170000,10019001426,0:02,place 3
101220170000,10019001446,101220170000,10019001437,0:09,place 3
101920170000,10019001126,101920170000,10019001120,0:05,place 3
101020170000,10019000848,101020170000,10019000843,0:04,place 3
101020170000,10019001316,101020170000,10019001303,0:12,place 3
100520170000,10019001402,100520170000,10019001349,0:12,place 3
102320170000,10019001548,102320170000,10019001326,2:22,place 5
102420170000,10019000835,102320170000,10019001613,16:22,place 5
102320170000,10019000806,102220170000,10019000914,22:52,place 5
102420170000,10019001546,102420170000,10019001439,1:07,place 5
102220170000,10019000749,102120170000,10019001829,13:20,place 5
102520170000,10019000839,102420170000,10019001803,14:35,place 5
102320170000,10019001255,102320170000,10019001242,0:13,place 8
102220170000,10019000844,102220170000,10019000826,0:18,place 8
102420170000,10019001741,102420170000,10019001601,1:40,place 8
102920170000,10019001819,102920170000,10019001814,0:05,place 8.1
100820170000,10019001235,100820170000,10019001222,0:13,place 8.1
100820170000,10019001205,100820170000,10019001153,0:11,place 8.2
101520170000,10019001240,101520170000,10019001230,0:09,place 8.2
100820170000,10019001153,100820170000,10019001104,0:48,place 8.3
101520170000,10019001230,101520170000,10019001143,0:47,place 8.3
100720170000,10019001351,100720170000,10019001332,0:19,place 8.4
101420170000,10019001518,101420170000,10019001445,0:33,place 8.4
102820170000,10019001101,102820170000,10019001024,0:36,place 8.5
102620170000,10019001949,102620170000,10019001945,0:04,place 8.5
